,Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,log_price
27,Abbotsford,2,h,890000.0,17/09/2016,2.5,03067,1.0,1.0,150.0,-37.8011,145.0004,4019.0,5.949390006644912
28,Abbotsford,4,h,1330000.0,18/03/2017,2.5,03067,2.0,2.0,780.0,-37.8073,144.9952,4019.0,6.123851640967086
29,Abbotsford,3,t,900000.0,18/03/2017,2.5,03067,2.0,2.0,0.0,-37.8093,144.9959,4019.0,5.954242509439325
30,Abbotsford,3,u,1090000.0,18/03/2017,2.5,03067,2.0,2.0,4290.0,-37.8078,144.9965,4019.0,6.037426497940624
31,Abbotsford,2,u,500000.0,18/06/2016,2.5,03067,1.0,1.0,0.0,-37.8015,144.9972,4019.0,5.698970004336019
32,Abbotsford,2,h,1100000.0,18/06/2016,2.5,03067,2.0,1.0,124.0,-37.8079,144.9977,4019.0,6.041392685158225
33,Abbotsford,2,h,1315000.0,19/11/2016,2.5,03067,1.0,0.0,147.0,-37.808,144.994,4019.0,6.118925752825777
34,Abbotsford,1,u,480000.0,19/11/2016,2.5,03067,1.0,2.0,0.0,-37.79793040000001,144.9981836,4019.0,5.681241237375588
35,Abbotsford,1,u,423500.0,22/05/2016,2.5,03067,1.0,2.0,0.0,-37.8052636,144.9741717,4019.0,5.6268534146667255
36,Abbotsford,1,u,426000.0,22/08/2016,2.5,03067,1.0,1.0,0.0,-37.8016,144.9988,4019.0,5.629409599102719
37,Abbotsford,3,h,1447500.0,22/08/2016,2.5,03067,3.0,1.0,166.0,-37.8017,145.0001,4019.0,6.160618572399474
38,Abbotsford,1,u,457000.0,22/08/2016,2.5,03067,1.0,1.0,0.0,-37.8078,144.9965,4019.0,5.65991620006985
39,Abbotsford,2,h,1135000.0,22/08/2016,2.5,03067,2.0,2.0,98.0,-37.8005,144.9952,4019.0,6.054995861529141
40,Abbotsford,2,h,700000.0,23/04/2016,2.5,03067,1.0,2.0,254.0,-37.7979172,144.9981895,4019.0,5.845098040014257
41,Abbotsford,4,h,1542000.0,24/09/2016,2.5,03067,3.0,1.0,0.0,-37.7994,144.9965,4019.0,6.188084373714938
42,Abbotsford,3,t,962000.0,25/02/2017,2.5,03067,1.0,2.0,222.0,-37.7972,144.9969,4019.0,5.983175072037813
43,Abbotsford,3,h,1290000.0,25/02/2017,2.5,03067,2.0,2.0,147.0,-37.805,144.9943,4019.0,6.110589710299249
44,Abbotsford,3,h,1290000.0,25/02/2017,2.5,03067,1.0,1.0,168.0,-37.8007,144.9958,4019.0,6.110589710299249
45,Abbotsford,1,u,470000.0,26/07/2016,2.5,03067,1.0,1.0,0.0,-37.8055,144.9961,4019.0,5.672097857935717
46,Abbotsford,2,h,1180000.0,27/11/2016,2.5,03067,1.0,0.0,162.0,-37.8016,144.9956,4019.0,6.071882007306125
47,Abbotsford,3,h,1195000.0,27/11/2016,2.5,03067,2.0,1.0,120.0,-37.8022,144.9954,4019.0,6.077367905284157
48,Abbotsford,2,h,1012500.0,28/05/2016,2.5,03067,1.0,0.0,182.0,-37.8021,144.9976,4019.0,6.005395031886706
49,Abbotsford,2,u,970000.0,28/05/2016,2.5,03067,1.0,2.0,0.0,-37.7979172,144.9981895,4019.0,5.986771734266245
50,Abbotsford,2,h,1030000.0,30/07/2016,2.5,03067,1.0,1.0,172.0,-37.8086,144.9946,4019.0,6.012837224705172
51,Abbotsford,3,h,927000.0,30/07/2016,2.5,03067,1.0,2.0,555.0,-37.7979172,144.9981895,4019.0,5.967079734144497
52,Airport West,3,t,840000.0,3/09/2016,13.5,03042,2.0,1.0,303.0,-37.718,144.878,3464.0,5.924279286061882
53,Airport West,3,h,730000.0,3/12/2016,13.5,03042,2.0,1.0,0.0,-37.7203,144.8755,3464.0,5.863322860120456
54,Airport West,3,h,770000.0,4/03/2017,13.5,03042,2.0,1.0,0.0,-37.7203,144.8755,3464.0,5.886490725172482
55,Airport West,2,h,603000.0,4/03/2017,13.5,03042,1.0,1.0,272.0,-37.7294,144.888,3464.0,5.780317312140151
56,Airport West,3,t,700000.0,4/03/2017,13.5,03042,2.0,2.0,239.0,-37.7218,144.8837,3464.0,5.845098040014257
57,Airport West,3,h,600000.0,4/03/2017,13.5,03042,1.0,1.0,290.0,-37.7273,144.8744,3464.0,5.778151250383644
58,Airport West,2,u,500000.0,4/03/2017,13.5,03042,1.0,1.0,168.0,-37.7215,144.8864,3464.0,5.698970004336019
60,Airport West,3,t,500000.0,4/06/2016,13.5,03042,1.0,2.0,222.0,43.0461391,-71.0854325,3464.0,5.698970004336019
63,Airport West,4,h,960000.0,6/08/2016,13.5,03042,2.0,2.0,621.0,43.0461391,-71.0854325,3464.0,5.982271233039568
64,Airport West,3,h,720000.0,6/08/2016,13.5,03042,1.0,1.0,620.0,-37.7173,144.8872,3464.0,5.857332496431268
65,Airport West,4,h,785000.0,6/08/2016,13.5,03042,1.0,2.0,597.0,-37.7259,144.8792,3464.0,5.894869656745253
67,Airport West,2,t,450000.0,7/05/2016,13.5,03042,1.0,1.0,110.0,-37.7216,144.871,3464.0,5.653212513775344
68,Airport West,2,u,515000.0,7/11/2016,13.5,03042,1.0,1.0,141.0,-37.7298,144.8883,3464.0,5.711807229041191
69,Airport West,3,h,680000.0,8/10/2016,13.5,03042,1.0,2.0,555.0,43.0461391,-71.0854325,3464.0,5.832508912706237
70,Airport West,2,u,530000.0,10/09/2016,13.5,03042,1.0,1.0,120.0,-37.7234,144.8792,3464.0,5.724275869600789
73,Airport West,3,h,805000.0,10/12/2016,13.5,03042,1.0,1.0,0.0,-37.7217,144.8783,3464.0,5.905795880367869
74,Airport West,3,t,760000.0,10/12/2016,13.5,03042,1.0,2.0,222.0,43.0461391,-71.0854325,3464.0,5.880813592280791
75,Airport West,3,u,752000.0,11/02/2017,13.5,03042,1.0,1.0,265.0,-37.7302,144.8855,3464.0,5.876217840591642
76,Airport West,3,u,580000.0,12/11/2016,13.5,03042,1.0,2.0,213.0,43.0461391,-71.0854325,3464.0,5.763427993562937
79,Airport West,2,u,440000.0,13/08/2016,13.5,03042,1.0,1.0,192.0,-37.7177,144.8787,3464.0,5.643452676486188
81,Airport West,5,h,755000.0,14/05/2016,13.5,03042,2.0,2.0,596.0,-37.7248,144.8699,3464.0,5.8779469516291885
83,Airport West,3,t,700000.0,15/10/2016,13.5,03042,2.0,2.0,165.0,-37.727,144.887,3464.0,5.845098040014257
85,Airport West,3,h,830000.0,16/04/2016,13.5,03042,1.0,2.0,971.0,-37.7186,144.876,3464.0,5.919078092376074
86,Airport West,2,u,462500.0,16/07/2016,13.5,03042,1.0,1.0,164.0,-37.7218,144.8863,3464.0,5.665111737075051
87,Airport West,3,h,670000.0,16/07/2016,13.5,03042,2.0,2.0,657.0,-37.7269,144.8742,3464.0,5.826074802700826
88,Airport West,2,h,675000.0,16/07/2016,13.5,03042,1.0,1.0,612.0,-37.7187,144.8765,3464.0,5.829303772831025
90,Airport West,3,h,910000.0,17/09/2016,13.5,03042,1.0,1.0,775.0,-37.7231,144.8835,3464.0,5.959041392321094
91,Airport West,4,h,773000.0,17/09/2016,13.5,03042,3.0,4.0,531.0,-37.7263,144.8679,3464.0,5.888179493918325
93,Airport West,3,h,810000.0,18/03/2017,13.5,03042,3.0,2.0,555.0,-37.7285,144.8694,3464.0,5.9084850188786495
94,Airport West,3,h,715000.0,18/03/2017,13.5,03042,2.0,2.0,422.0,-37.7164,144.8792,3464.0,5.854306041801081
95,Airport West,3,h,790000.0,18/03/2017,13.5,03042,1.0,3.0,614.0,-37.7194,144.8827,3464.0,5.897627091290442
97,Airport West,3,t,540000.0,18/06/2016,13.5,03042,2.0,1.0,161.0,-37.7231,144.8802,3464.0,5.732393759822968
98,Airport West,3,t,825000.0,19/11/2016,13.5,03042,2.0,1.0,293.0,-37.72,144.8776,3464.0,5.9164539485499255
99,Airport West,3,h,685000.0,22/05/2016,13.5,03042,1.0,1.0,579.0,-37.7226,144.8733,3464.0,5.835690571492425
100,Airport West,3,u,445000.0,22/05/2016,13.5,03042,1.0,2.0,213.0,43.0461391,-71.0854325,3464.0,5.648360010980932
101,Airport West,3,h,805000.0,22/08/2016,13.5,03042,1.0,1.0,623.0,-37.7184,144.882,3464.0,5.905795880367869
102,Airport West,2,u,510000.0,22/08/2016,13.5,03042,1.0,1.0,141.0,-37.7202,144.8797,3464.0,5.707570176097937
103,Airport West,3,h,612000.0,22/08/2016,13.5,03042,2.0,1.0,212.0,-37.7181,144.8824,3464.0,5.786751422145561
104,Airport West,3,h,662000.0,23/04/2016,13.5,03042,1.0,2.0,612.0,-37.7169,144.8815,3464.0,5.8208579894397
105,Airport West,4,h,978000.0,24/09/2016,13.5,03042,3.0,2.0,532.0,-37.7263,144.869,3464.0,5.990338854787601
106,Airport West,3,h,720000.0,25/02/2017,13.5,03042,1.0,1.0,585.0,-37.72,144.878,3464.0,5.857332496431268
112,Airport West,4,h,765000.0,27/11/2016,13.5,03042,1.0,2.0,509.0,-37.7261,144.8785,3464.0,5.883661435153617
113,Airport West,4,h,900000.0,27/11/2016,13.5,03042,2.0,3.0,628.0,-37.7256,144.8739,3464.0,5.954242509439325
117,Albert Park,2,h,1275000.0,3/09/2016,3.3,03206,1.0,0.0,120.0,-37.8459,144.9555,3280.0,6.105510184769974
118,Albert Park,2,h,1455000.0,3/09/2016,3.3,03206,1.0,0.0,159.0,-37.845,144.9538,3280.0,6.162862993321926
119,Albert Park,3,h,2850000.0,4/03/2017,3.3,03206,2.0,0.0,211.0,-37.8481,144.9499,3280.0,6.45484486000851
120,Albert Park,3,h,1850000.0,4/03/2017,3.3,03206,2.0,0.0,128.0,-37.8452,144.9488,3280.0,6.267171728403014
121,Albert Park,2,h,1436000.0,4/03/2017,3.3,03206,1.0,0.0,130.0,-37.8431,144.9565,3280.0,6.157154439906281
122,Albert Park,2,h,1110000.0,6/08/2016,3.3,03206,1.0,0.0,147.0,-37.8444,144.9484,3280.0,6.045322978786658
123,Albert Park,2,h,1550000.0,7/05/2016,3.3,03206,1.0,1.0,167.0,-37.8405,144.9521,3280.0,6.190331698170292
124,Albert Park,4,h,2300000.0,7/05/2016,3.3,03206,2.0,1.0,153.0,-37.8447,144.9523,3280.0,6.361727836017593
125,Albert Park,3,t,1550000.0,7/11/2016,3.3,03206,2.0,2.0,718.0,-37.8443,144.9598,3280.0,6.190331698170292
126,Albert Park,3,h,1800000.0,7/11/2016,3.3,03206,2.0,1.0,132.0,-37.8415,144.952,3280.0,6.2552725051033065
128,Albert Park,2,h,2120000.0,10/09/2016,3.3,03206,1.0,1.0,199.0,-37.8422,144.9554,3280.0,6.326335860928752
129,Albert Park,3,h,1800000.0,10/09/2016,3.3,03206,1.0,1.0,253.0,-37.8443,144.9579,3280.0,6.2552725051033065
130,Albert Park,3,h,1800000.0,10/09/2016,3.3,03206,2.0,1.0,90.0,-37.8421,144.9571,3280.0,6.2552725051033065
131,Albert Park,2,h,1810000.0,10/12/2016,3.3,03206,1.0,0.0,240.0,-37.8379,144.9539,3280.0,6.2576785748691846
132,Albert Park,3,h,2615000.0,10/12/2016,3.3,03206,2.0,1.0,177.0,-37.8415,144.9585,3280.0,6.417471693203293
133,Albert Park,5,h,2100000.0,10/12/2016,3.3,03206,2.0,1.0,237.0,-37.8436,144.9557,3280.0,6.3222192947339195
134,Albert Park,3,h,1300000.0,10/12/2016,3.3,03206,1.0,0.0,129.0,-37.8422,144.949,3280.0,6.113943352306837
135,Albert Park,3,h,1370000.0,12/06/2016,3.3,03206,2.0,2.0,0.0,-37.8451,144.9511,3280.0,6.136720567156407
136,Albert Park,2,h,1000000.0,12/11/2016,3.3,03206,1.0,0.0,288.0,-37.8407,144.9523,3280.0,6.0
137,Albert Park,3,h,2575000.0,15/10/2016,3.3,03206,2.0,1.0,228.0,-37.8445,144.9501,3280.0,6.4107772333772095
138,Albert Park,2,h,1322500.0,15/10/2016,3.3,03206,1.0,0.0,149.0,-37.8443,144.9481,3280.0,6.121395680707224
139,Albert Park,2,h,1562500.0,15/10/2016,3.3,03206,1.0,0.0,141.0,-37.8424,144.9562,3280.0,6.1938200260161125
140,Albert Park,3,h,2000000.0,16/04/2016,3.3,03206,2.0,1.0,211.0,-37.847,144.9575,3280.0,6.301029995663981
141,Albert Park,3,h,1900000.0,18/03/2017,3.3,03206,1.0,0.0,209.0,-37.8468,144.9546,3280.0,6.278753600952829
143,Albert Park,4,h,2800000.0,18/06/2016,3.3,03206,3.0,1.0,327.0,-37.8467,144.9475,3280.0,6.447158031342219
144,Albert Park,2,u,647000.0,22/05/2016,3.3,03206,1.0,1.0,0.0,-37.846,144.9542,3280.0,5.810904280668701
145,Albert Park,3,h,2100000.0,23/04/2016,3.3,03206,1.0,1.0,120.0,-37.8427,144.9546,3280.0,6.3222192947339195
146,Albert Park,3,h,2000000.0,24/09/2016,3.3,03206,1.0,1.0,238.0,-37.8461,144.9528,3280.0,6.301029995663981
147,Albert Park,1,u,442500.0,25/02/2017,3.3,03206,1.0,0.0,0.0,-37.8421,144.9517,3280.0,5.645913275033844
149,Albert Park,2,h,1340000.0,25/02/2017,3.3,03206,1.0,0.0,136.0,-37.846,144.9517,3280.0,6.127104798364807
150,Albert Park,3,h,1801000.0,25/02/2017,3.3,03206,1.0,1.0,202.0,-37.8429,144.9493,3280.0,6.255513712819534
151,Albert Park,3,h,1532000.0,26/07/2016,3.3,03206,3.0,1.0,0.0,-37.8415,144.9585,3280.0,6.185258765296585
153,Albert Park,4,h,2140000.0,27/06/2016,3.3,03206,2.0,1.0,183.0,-37.8434,144.9495,3280.0,6.330413773349191
154,Albert Park,2,u,1810000.0,27/06/2016,3.3,03206,1.0,2.0,0.0,-37.841503,144.9551236,3280.0,6.2576785748691846
155,Albert Park,2,h,1750000.0,27/11/2016,3.3,03206,1.0,1.0,162.0,-37.8416,144.9488,3280.0,6.243038048686294
156,Albert Park,2,h,980000.0,28/05/2016,3.3,03206,1.0,0.0,79.0,-37.8387,144.9519,3280.0,5.991226075692495
157,Albert Park,3,h,2030000.0,28/08/2016,3.3,03206,2.0,0.0,152.0,-37.8488,144.9551,3280.0,6.307496037913213
158,Albert Park,3,h,1740000.0,28/08/2016,3.3,03206,2.0,2.0,147.0,-37.8448,144.9453,3280.0,6.2405492482825995
159,Albert Park,3,h,2800000.0,30/07/2016,3.3,03206,3.0,1.0,0.0,-37.8399,144.9577,3280.0,6.447158031342219
160,Albert Park,1,h,985000.0,30/07/2016,3.3,03206,1.0,0.0,81.0,-37.8411,144.9497,3280.0,5.993436230497612
161,Alphington,4,h,2000000.0,3/09/2016,6.4,03078,2.0,4.0,853.0,-37.7707,145.0318,2211.0,6.301029995663981
162,Alphington,3,h,1110000.0,3/09/2016,6.4,03078,2.0,2.0,208.0,-37.7854,145.0325,2211.0,6.045322978786658
163,Alphington,3,h,1492000.0,4/03/2017,6.4,03078,2.0,2.0,411.0,-37.7713,145.0279,2211.0,6.17376882313665
164,Alphington,2,u,480000.0,7/05/2016,6.4,03078,1.0,2.0,0.0,-37.7859918,145.0306259,2211.0,5.681241237375588
165,Alphington,3,t,1304000.0,8/10/2016,6.4,03078,1.0,2.0,222.0,51.4801941,-0.1989898,2211.0,6.115277591395901
166,Alphington,4,h,1717500.0,8/10/2016,6.4,03078,2.0,1.0,599.0,-37.7717,145.031,2211.0,6.2348967457315885
168,Alphington,2,u,525500.0,12/11/2016,6.4,03078,1.0,1.0,88.0,-37.7791,145.0306,2211.0,5.720572720364261
169,Alphington,2,t,805000.0,12/11/2016,6.4,03078,2.0,3.0,155.0,-37.7804,145.0308,2211.0,5.905795880367869
170,Alphington,2,u,465000.0,12/11/2016,6.4,03078,1.0,1.0,0.0,-37.7773,145.0314,2211.0,5.6674529528899535
171,Alphington,3,h,1480000.0,13/08/2016,6.4,03078,1.0,2.0,555.0,-37.7834936,145.0356436,2211.0,6.1702617153949575
172,Alphington,3,h,2000000.0,15/10/2016,6.4,03078,3.0,2.0,686.0,-37.78,145.0341,2211.0,6.301029995663981
173,Alphington,3,h,1540000.0,16/04/2016,6.4,03078,1.0,2.0,592.0,-37.7755,145.0288,2211.0,6.187520720836463
175,Alphington,2,u,820000.0,18/03/2017,6.4,03078,1.0,1.0,183.0,-37.7747,145.0264,2211.0,5.913813852383717
176,Alphington,4,h,1830000.0,19/11/2016,6.4,03078,2.0,2.0,606.0,-37.7743,145.0316,2211.0,6.26245108973043
177,Alphington,4,h,2100000.0,19/11/2016,6.4,03078,2.0,2.0,575.0,-37.7723,145.0319,2211.0,6.3222192947339195
178,Alphington,3,h,865000.0,22/05/2016,6.4,03078,1.0,1.0,180.0,-37.7802,145.0243,2211.0,5.937016107464814
179,Alphington,2,u,390000.0,22/05/2016,6.4,03078,1.0,1.0,0.0,-37.7773,145.0314,2211.0,5.5910646070264995
180,Alphington,2,t,650000.0,24/09/2016,6.4,03078,1.0,0.0,0.0,-37.7848,145.025,2211.0,5.812913356642856
181,Alphington,2,u,512000.0,25/02/2017,6.4,03078,1.0,1.0,0.0,-37.7805,145.0262,2211.0,5.70926996097583
182,Alphington,3,h,1361000.0,25/02/2017,6.4,03078,1.0,2.0,555.0,-37.7796,145.0285,2211.0,6.133858125203335
183,Alphington,3,h,1310000.0,26/07/2016,6.4,03078,1.0,2.0,555.0,51.4851329,-0.1825722,2211.0,6.117271295655764
184,Alphington,3,h,570000.0,27/06/2016,6.4,03078,1.0,2.0,555.0,-37.78349499999999,145.025223,2211.0,5.7558748556724915
185,Alphington,3,h,1165000.0,27/06/2016,6.4,03078,1.0,2.0,979.0,-37.7792,145.029,2211.0,6.066325925362038
187,Alphington,4,h,1900000.0,27/11/2016,6.4,03078,2.0,2.0,556.0,-37.7844,145.0225,2211.0,6.278753600952829
188,Alphington,3,h,1485000.0,28/08/2016,6.4,03078,0.0,0.0,597.0,-37.7781,145.0284,2211.0,6.171726453653231
189,Alphington,4,h,1950000.0,30/07/2016,6.4,03078,2.0,3.0,589.0,-37.7719,145.0309,2211.0,6.290034611362518
190,Altona,3,h,520000.0,3/09/2016,13.8,03018,2.0,1.0,352.0,-37.87,144.825,5301.0,5.7160033436347994
191,Altona,5,h,1525000.0,3/12/2016,13.8,03018,3.0,3.0,729.0,-37.8721,144.8105,5301.0,6.183269843682805
192,Altona,2,t,720000.0,4/02/2016,13.8,03018,1.0,2.0,292.0,-37.8687,144.8197,5301.0,5.857332496431268
193,Altona,3,h,1120000.0,4/03/2017,13.8,03018,1.0,2.0,506.0,-37.8693,144.8375,5301.0,6.049218022670182
194,Altona,4,h,780000.0,4/06/2016,13.8,03018,1.0,4.0,655.0,-37.868,144.8154,5301.0,5.892094602690481
196,Altona,3,u,630000.0,6/08/2016,13.8,03018,1.0,2.0,311.0,-37.8702,144.8143,5301.0,5.799340549453582
197,Altona,2,u,406000.0,6/08/2016,13.8,03018,1.0,1.0,65.0,-37.8693,144.8171,5301.0,5.608526033577194
198,Altona,3,h,660000.0,7/05/2016,13.8,03018,1.0,1.0,602.0,-37.8616,144.8116,5301.0,5.819543935541868
199,Altona,3,h,683500.0,7/11/2016,13.8,03018,1.0,1.0,530.0,-37.8594,144.817,5301.0,5.834738518903841
200,Altona,2,u,540000.0,8/10/2016,13.8,03018,1.0,2.0,0.0,-37.8560768,144.8182779,5301.0,5.732393759822968
201,Altona,2,u,580000.0,8/10/2016,13.8,03018,1.0,1.0,225.0,-37.8696,144.827,5301.0,5.763427993562937
202,Altona,3,h,1335000.0,8/10/2016,13.8,03018,1.0,4.0,777.0,-37.8697,144.8249,5301.0,6.125481265700594
203,Altona,3,t,800000.0,8/10/2016,13.8,03018,2.0,2.0,280.0,-37.8734,144.8143,5301.0,5.903089986991944
204,Altona,2,u,510000.0,10/09/2016,13.8,03018,1.0,1.0,127.0,-37.8686,144.8182,5301.0,5.707570176097937
205,Altona,4,h,1070000.0,10/09/2016,13.8,03018,2.0,2.0,695.0,-37.8733,144.8147,5301.0,6.02938377768521
206,Altona,2,u,425000.0,10/09/2016,13.8,03018,1.0,2.0,115.0,-37.871,144.8185,5301.0,5.628388930050312
207,Altona,3,u,605000.0,10/12/2016,13.8,03018,2.0,2.0,230.0,-37.8646,144.827,5301.0,5.781755374652469
208,Altona,3,t,705000.0,11/02/2017,13.8,03018,2.0,2.0,197.0,-37.8579,144.8181,5301.0,5.848189116991398
209,Altona,2,u,391000.0,11/02/2017,13.8,03018,1.0,1.0,0.0,-37.8678,144.8384,5301.0,5.592176757395867
210,Altona,2,u,440000.0,11/02/2017,13.8,03018,1.0,1.0,0.0,-37.8659,144.831,5301.0,5.643452676486188
211,Altona,4,h,845000.0,11/02/2017,13.8,03018,1.0,2.0,745.0,-37.8658,144.8155,5301.0,5.926856708949693
212,Altona,3,h,766000.0,11/03/2017,13.8,03018,1.0,2.0,555.0,-37.865556,144.8377998,5301.0,5.884228769632604
213,Altona,3,t,743000.0,12/11/2016,13.8,03018,2.0,2.0,211.0,-37.8698,144.816,5301.0,5.870988813760575
214,Altona,3,t,650000.0,12/11/2016,13.8,03018,1.0,2.0,222.0,-33.9414355,151.2452276,5301.0,5.812913356642856
215,Altona,3,u,730000.0,13/08/2016,13.8,03018,2.0,1.0,69.0,-37.868,144.8286,5301.0,5.863322860120456
217,Altona,3,h,635000.0,14/05/2016,13.8,03018,1.0,4.0,625.0,-37.8611,144.8114,5301.0,5.802773725291976
218,Altona,2,u,620000.0,14/05/2016,13.8,03018,1.0,1.0,168.0,-37.8676,144.8202,5301.0,5.7923916894982534
219,Altona,2,u,447000.0,15/10/2016,13.8,03018,1.0,1.0,137.0,-37.8655,144.8299,5301.0,5.650307523131937
220,Altona,3,u,730000.0,16/04/2016,13.8,03018,2.0,1.0,70.0,-37.868,144.8287,5301.0,5.863322860120456
221,Altona,3,h,678000.0,16/04/2016,13.8,03018,1.0,2.0,606.0,-37.8608,144.8124,5301.0,5.831229693867063
222,Altona,2,u,580000.0,16/07/2016,13.8,03018,2.0,1.0,175.0,-37.8687,144.8268,5301.0,5.763427993562937
223,Altona,3,h,712000.0,17/09/2016,13.8,03018,1.0,2.0,363.0,-37.8674,144.8375,5301.0,5.852479993636856
224,Altona,3,h,840000.0,18/03/2017,13.8,03018,2.0,2.0,534.0,-37.86,144.8245,5301.0,5.924279286061882
225,Altona,3,h,980000.0,19/11/2016,13.8,03018,1.0,2.0,724.0,-37.8672,144.817,5301.0,5.991226075692495
226,Altona,4,h,1000000.0,19/11/2016,13.8,03018,2.0,2.0,621.0,-33.914353,150.8671373,5301.0,6.0
227,Altona,3,t,605100.0,22/05/2016,13.8,03018,2.0,0.0,265.0,-37.8583,144.8172,5301.0,5.781827152932427
228,Altona,3,h,880000.0,22/08/2016,13.8,03018,3.0,1.0,577.0,-37.8699,144.8235,5301.0,5.944482672150168
229,Altona,3,u,577000.0,23/04/2016,13.8,03018,2.0,1.0,205.0,-37.8684,144.815,5301.0,5.761175813155732
230,Altona,4,h,1030000.0,25/02/2017,13.8,03018,1.0,0.0,797.0,-37.8663,144.8387,5301.0,6.012837224705172
231,Altona,3,u,605000.0,25/02/2017,13.8,03018,1.0,2.0,181.0,-37.8659,144.822,5301.0,5.781755374652469
233,Altona,3,h,753000.0,27/06/2016,13.8,03018,2.0,2.0,529.0,-37.8612,144.8247,5301.0,5.876794976200701
234,Altona,2,h,857000.0,27/11/2016,13.8,03018,2.0,1.0,675.0,-37.8653,144.8129,5301.0,5.9329808219231985
235,Altona,3,h,1500000.0,28/05/2016,13.8,03018,1.0,1.0,929.0,-37.8651,144.832,5301.0,6.176091259055681
236,Altona,3,u,730000.0,28/05/2016,13.8,03018,2.0,1.0,70.0,-37.868,144.8285,5301.0,5.863322860120456
237,Altona,3,h,900000.0,28/05/2016,13.8,03018,1.0,4.0,697.0,-37.871,144.8075,5301.0,5.954242509439325
238,Altona,3,h,740000.0,28/08/2016,13.8,03018,1.0,2.0,604.0,-37.8631,144.8195,5301.0,5.869231719730976
239,Altona,4,h,931000.0,28/08/2016,13.8,03018,2.0,3.0,532.0,-37.8637,144.8365,5301.0,5.968949680981343
240,Altona,2,h,535600.0,30/07/2016,13.8,03018,1.0,1.0,154.0,-37.8646,144.8272,5301.0,5.7288405683399715
